ui|en
ui_nav_page_main|Intro
ui_nav_app_be|BE Sample size
ui_nav_app_rand|Randomisation list
ui_nav_page_help|Help / Feedback

ui_app_common_rcodepanel|Reproducible R code
ui_app_common_envirpanel|Environment version
ui_app_common_outpanel|Output

ui_mainpage_lang|Select UI language
ui_mainpage_loading|Loading...
ui_mainpage_readmefile|Readme_en.html

ui_BE_title|Sample size for BE studies
ui_BE_input_cv|Enter CV intra
ui_BE_input_tr|Enter T/R ratio
ui_BE_input_design|Select study design
ui_BE_input_2x1|2x1 (Parallel 2 groups)
ui_BE_input_2x2|2x2 (Simple crossover)
ui_BE_input_2x2x4|2x2x4 (Full replicate)
ui_BE_input_limits|Select BE limits
ui_BE_input_widened|Widened BE limits
ui_BE_input_power|Select target power
ui_BE_input_pleaseclick|Do not forget to click on the 'Calculate' button!
ui_BE_input_calculate|Calculate sample size
ui_BE_validate_cv|Please enter Intra CV > 0
ui_BE_validate_tr|Please provide T/R within %s and %s
ui_BE_validate_widened|Expanded BE limits are only allowed for replicate design with CV intra > 0.3

ui_RAND_title|Randomization lists
ui_RAND_input_method|Select randomization method
ui_RAND_input_methodsimple|Simple
ui_RAND_input_methodblocked|Blocked
ui_RAND_input_nsubjects|Minimum subjects to randomize
ui_RAND_input_armlabelinfo|Enter label and size for each treatment arm. Missing labels are ignored
ui_RAND_input_armlabel|Arm %s label
ui_RAND_input_armsize|size
ui_RAND_input_addarm|Add new treatment
ui_RAND_txt_treatment|Treatment
ui_RAND_txt_control|Control
ui_RAND_input_blocksize|Enter randomisation block size
ui_RAND_input_pleaseclick|Do not forget to click on the "Randomize" button!
ui_RAND_input_calculate|Create randomization list
ui_RAND_input_savecsv|Get .CSV file
ui_RAND_input_preview|Preview Randomization table (up to first 50 records)

ui_RAND_validate_blocksize|block size is not a multiple of %s.
ui_RAND_validate_armsize|At least one arm size is not correct. Arm size should be an integer value greater than or equal to %s.
ui_RAND_validate_nsubj|Number of subjects should be an integer value greater than one, e.g. %s.
ui_RAND_validate_failedcsv|Failed to create a valid randomization list.
ui_RAND_validate_armduplicated|Non-missing arm labels must be unique
